"ValueClassification","Value","DescriptionClassification","Description","DeprecationDate"
"(U) ","kg/(cm³·K)","(U) ","kilogram per cubic centimetre kelvin",
"(U) ","kg/dm³","(U) ","kilogram per cubic decimetre",
"(U) ","(kg/dm³)/bar","(U) ","kilogram per cubic decimetre bar",
"(U) ","(kg/dm³)/K","(U) ","kilogram per cubic decimetre kelvin",
"(U) ","kg/m³","(U) ","kilogram per cubic metre",
"(U) ","kg/(m³·bar)","(U) ","kilogram per cubic metre bar",
"(U) ","kg/(m³·K)","(U) ","kilogram per cubic metre kelvin",
"(U) ","kg/d","(U) ","kilogram per day",
"(U) ","kg/(d·bar)","(U) ","kilogram per day bar",
"(U) ","kg/(d·K)","(U) ","kilogram per day kelvin",
"(U) ","kg/h","(U) ","kilogram per hour",
"(U) ","kg/(h·bar)","(U) ","kilogram per hour bar",
"(U) ","kg/(h·K)","(U) ","kilogram per hour kelvin",
"(U) ","kg/K","(U) ","kilogram per kelvin",
"(U) ","kg/kg","(U) ","kilogram per kilogram",
"(U) ","kg/km","(U) ","kilogram per kilometre",
"(U) ","kg/kmol","(U) ","kilogram per kilomol",
"(U) ","kg/l","(U) ","kilogram per litre",
"(U) ","kg/L","(U) ","kilogram per litre",
"(U) ","kg/(l·bar)","(U) ","kilogram per litre bar",
"(U) ","kg/(l·K)","(U) ","kilogram per litre kelvin",
"(U) ","kg/m","(U) ","kilogram per metre",
"(U) ","kg/mm","(U) ","kilogram per millimetre",
"(U) ","kg/min","(U) ","kilogram per minute",
"(U) ","kg/(min·bar)","(U) ","kilogram per minute bar",
"(U) ","kg/(min·K)","(U) ","kilogram per minute kelvin",
"(U) ","kg/mol","(U) ","kilogram per mole",
"(U) ","kg/s","(U) ","kilogram per second",
"(U) ","kg/(s·bar)","(U) ","kilogram per second bar",
"(U) ","kg/(s·K)","(U) ","kilogram per second kelvin",
"(U) ","kg/cm²","(U) ","kilogram per square centimetre",
"(U) ","kg/m²","(U) ","kilogram per square metre",
"(U) ","kg/(m²·s)","(U) ","kilogram per square metre second",
"(U) ","kg·cm²","(U) ","kilogram square centimetre",
"(U) ","kg·mm²","(U) ","kilogram square millimetre",
"(U) ","kgf","(U) ","kilogram-force",
"(U) ","kgf·m","(U) ","kilogram-force metre",
"(U) ","kgf·m/s","(U) ","kilogram-force metre per second",
"(U) ","kgf/cm²","(U) ","kilogram-force per square centimetre",
"(U) ","kgf/m²","(U) ","kilogram-force per square metre",
"(U) ","kgf·m/cm²","(U) ","kilogram-force per square millimetre",
"(U) ","kHz","(U) ","kilohertz",
"(U) ","kHz·m","(U) ","kilohertz metre",
"(U) ","kJ","(U) ","kilojoule",
"(U) ","kJ/K","(U) ","kilojoule per kelvin",
"(U) ","kJ/kg","(U) ","kilojoule per kilogram",
"(U) ","kJ/(kg·K)","(U) ","kilojoule per kilogram kelvin",
